event_id,p_completed,p_terminated,p_withdrawn,outcome_probability_source,outcome_match_source,actual_deal_status_raw,actual_outcome_label,outcome_train_n,outcome_train_completed,outcome_train_terminated,outcome_train_withdrawn,outcome_nb_categorical_alpha,outcome_nb_prior_strength,outcome_nb_variance_shrinkage,outcome_nb_likelihood_weight,outcome_nb_prior_blend,outcome_nb_inner_validation_brier
E000055_20240516_SilverBow_Resources_Inc__Crescent_Energy_Co,0.853489459789363,0.1056894307444977,0.0408211094661394,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000056_20080609_Hilb_Rogal___Hobbs_Co__Willis_Towers_Watson_PLC,0.8392297468286457,0.1261249546350533,0.034645298536301,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000057_20250806_Aris_Water_Solution_Inc__Western_Midstream_Partners_LP,0.6498750788081133,0.1222976844763354,0.2278272367155512,bbg_naive_bayes_temporal_tuned_full_training,event_frame_fallback_no_bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000058_20160919_Isle_of_Capri_Casinos_Inc__Caesars_Entertainment_Inc,0.8526076900114387,0.1114181666600096,0.0359741433285517,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000059_20100118_Brink_s_Home_Security_Holdings_Inc__Johnson_Controls_International_plc,0.8407984499013663,0.1241824607076836,0.0350190893909501,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000060_20070627_Chittenden_Corp__People_s_United_Financial_Inc,0.8545190090212589,0.1111706237963362,0.0343103671824049,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000061_20150817_National_Penn_Bancshares_Inc__Truist_Financial_Corp,0.8575059114252855,0.1073170824871837,0.0351770060875307,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000062_20070129_First_Republic_Bank_Old__Merrill_Lynch___Co_Inc,0.8545654866519043,0.1111249681409135,0.0343095452071822,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000063_20160411_Hatteras_Financial_Corp__Annaly_Capital_Management_Inc,0.8527158538552299,0.1113370253254883,0.0359471208192818,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000064_20180213_Nationstar_Mortgage_Holdings_Inc__Mr_Cooper_Group_Inc,0.8533883356892564,0.1097971581529255,0.036814506157818,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000065_20101217_Cumulus_Intermediate_Holdings_LLC__Cumulus_Media_Inc,0.8498894276941688,0.1155425871215092,0.034567985184322,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
E000066_20121108_KAYAK_Software_Corp__Booking_Holdings_Inc,0.8511364122608278,0.114026959419471,0.0348366283197012,bbg_naive_bayes_temporal_tuned_full_training,bbg_key_match,Completed,completed,1997,1648,258,91,0.5,25.0,0.5,1.0,0.75,0.3329445317234491
