event_id,target,signal,selected_strategy,signal_reason,elect,E_return_%,downside_5%_%,loss_probability_%,realized_return_%,p_completed,p_terminated,p_withdrawn,hedge_side,hedge_ratio,capacity_optimal_notional,capacity_optimal_expected_pnl,capacity_adjusted_E_return_%,capacity_adjusted_realized_return_%
E000174_20141113_Foster_Wheeler_AG__Amec_Foster_Wheeler_Ltd,Foster Wheeler AG,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,CASH,6.67,2.1,0.0,2.1,0.824,0.1336,0.0424,LONG_ACQUIRER,0.45,26689580.568,1779614.9604,6.6678,2.0999
E000163_20070627_Web.com_Holding_Co_Inc__Web.com_Group_Inc,Web.com Holding Co Inc (We,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,6.57,-2.0,69.84,-2.0,0.6959,0.2605,0.0436,LONG_ACQUIRER,0.344,,,,
E000072_20070214_TALX_Corp__Equifax_Inc,TALX Corp,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,CASH,6.12,2.35,0.0,2.35,0.849,0.1167,0.0343,LONG_ACQUIRER,0.646,10059587.0375,615209.4521,6.1157,2.3451
E000028_20190402_AmeriGas_Partners_LP__UGI_Corp,AmeriGas Partners LP,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,CASH,5.85,1.98,0.0,1.98,0.8505,0.1108,0.0387,LONG_ACQUIRER,0.319,25072300.252,1466677.2749,5.8498,1.9831
E000046_20140321_LIN_Media_LLC__Media_General_Inc,LIN Media LLC,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,CASH,5.85,2.09,0.0,2.09,0.8512,0.1134,0.0354,LONG_ACQUIRER,0.736,24945732.912,1458109.6703,5.8451,2.0923
E000176_20160310_LaPorte_Bancorp_Inc__Horizon_Bancorp_Inc_IN,LaPorte Bancorp Inc,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,5.47,-25.0,13.95,,0.8606,0.1046,0.0348,SHORT_ACQUIRER,0.148,,,,
E000024_20161117_Western_Refining_Inc__Andeavor,Western Refining Inc,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,STOCK,5.24,0.77,0.0,0.77,0.8497,0.1135,0.0368,LONG_ACQUIRER,0.217,152907567.096,8017702.585,5.2435,0.773
E000038_20100415_Mariner_Energy_Inc__Apache_Corp,Mariner Energy Inc,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,4.88,-1.18,85.12,-1.18,0.848,0.1173,0.0347,LONG_ACQUIRER,0.122,,,,
E000005_20160125_Johnson_Controls_Inc__Johnson_Controls_International_plc,Johnson Controls Inc,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,STOCK,4.85,0.19,0.0,0.19,0.8294,0.1262,0.0444,LONG_ACQUIRER,0.5,210397582.1745,10207062.0449,4.8513,0.1857
E000191_20101012_Rome_Bancorp_Inc__Beacon_Financial_Corp,Rome Bancorp Inc,PASS_P05,PASS,best_candidate_p05_below_floor,STOCK,4.38,-35.0,30.43,15.86,0.6958,0.245,0.0592,SHORT_ACQUIRER,0.518,,,,
E000212_20070827_Carolina_National_Corp__First_National_Bancshares_Inc_SC,Carolina National Corp,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,4.29,-27.79,14.06,6.66,0.8579,0.1078,0.0343,SHORT_ACQUIRER,0.405,,,,
E000119_20220524_PCSB_Financial_Corp__Brookline_Bancorp_Inc,PCSB Financial Corp,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,4.07,-25.0,13.88,3.6,0.8613,0.1025,0.0362,SHORT_ACQUIRER,0.255,,,,
E000258_20111220_Commercefirst_Bancorp_Inc__Sandy_Spring_Bancorp_Inc,Commercefirst Bancorp Inc,PASS_P05,PASS,best_candidate_p05_below_floor,STOCK,4.05,-36.52,13.93,,0.8595,0.1062,0.0343,SHORT_ACQUIRER,0.633,,,,
E000121_20070129_Premier_Community_Bankshares_Inc__United_Bankshares_Inc_WV,Premier Community Bankshar,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,3.97,-2.21,85.47,-2.21,0.8571,0.1086,0.0343,LONG_ACQUIRER,0.465,,,,
E000068_20181119_Resolute_Energy_Corp__Cimarex_Energy_Co,Resolute Energy Corp,REVERSE,SHORT_TARGET_PASSIVE,risk_adjusted_return_positive,CASH,3.96,0.09,0.0,0.09,0.8536,0.1096,0.0367,LONG_ACQUIRER,0.197,28587165.007,1131283.2752,3.9573,0.0851
E000088_20160825_AEP_Industries_Inc__Berry_Global_Group_Inc,AEP Industries Inc,PASS_LOSS_PROB,PASS,best_candidate_loss_probability_above_ceiling,STOCK,3.94,-0.81,85.4,-0.81,0.8543,0.1101,0.0356,LONG_ACQUIRER,1.251,,,,
E000225_20120910_WSB_Holdings_Inc__Old_Line_Bancshares_Inc,WSB Holdings Inc,PASS_P05,PASS,best_candidate_p05_below_floor,CASH,3.9,-49.75,14.11,,0.8596,0.106,0.0344,SHORT_ACQUIRER,0.129,,,,
